train_mode,test_mode,f_value,n_seeds,mean_coop_rate,sem_coop_rate,mean_coop_pct,sem_coop_pp,natural_mean_coop_rate,delta_intervention_minus_natural,delta_intervention_minus_natural_pp,sign_flip_p_value,n_intervention_gt_natural,n_intervention_lt_natural,n_intervention_eq_natural
learned,natural,3.500,15,0.776747090264249,0.037267634294185434,77.6747090264249,3.7267634294185434,0.776747090264249,-0.0,-0.0,1.0,0,0,15
learned,zeros,3.500,15,0.8011189370098407,0.0453153183949845,80.11189370098407,4.53153183949845,0.776747090264249,0.024371846745591678,2.437184674559168,0.5399169921875,8,7,0
learned,indep_random,3.500,15,0.7243165089379601,0.04390458012690777,72.431650893796,4.390458012690777,0.776747090264249,-0.05243058132628892,-5.243058132628892,0.0205078125,4,11,0
learned,public_random,3.500,15,0.7106539911489921,0.0496950307986296,71.06539911489921,4.96950307986296,0.776747090264249,-0.066093099115257,-6.6093099115257,0.0732421875,4,11,0
learned,fixed0,3.500,15,0.6939507467905489,0.06259022437754459,69.39507467905489,6.259022437754459,0.776747090264249,-0.08279634347369999,-8.27963434737,0.10357666015625,6,9,0
learned,fixed1,3.500,15,0.7350616913931763,0.05473004154373516,73.50616913931763,5.473004154373516,0.776747090264249,-0.041685398871072483,-4.168539887107248,0.50494384765625,8,7,0
uniform,natural,3.500,15,0.7586251314405889,0.05446761613566052,75.86251314405888,5.446761613566052,0.7586251314405889,-0.0,-0.0,1.0,0,0,15
uniform,zeros,3.500,15,0.8223396424815984,0.05086558236423849,82.23396424815984,5.0865582364238495,0.7586251314405889,0.06371451104100948,6.371451104100948,0.03253173828125,11,4,0
uniform,indep_random,3.500,15,0.7582488431341965,0.05485203254292448,75.82488431341964,5.485203254292448,0.7586251314405889,-0.00037628830639241845,-0.03762883063924184,0.71856689453125,6,9,0
uniform,public_random,3.500,15,0.7637326614651062,0.05616057528118121,76.37326614651062,5.61605752811812,0.7586251314405889,0.005107530024517346,0.5107530024517346,0.76873779296875,7,8,0
uniform,fixed0,3.500,15,0.7174474237644584,0.060241749578412454,71.74474237644584,6.024174957841246,0.7586251314405889,-0.041177707676130375,-4.117770767613037,0.25555419921875,6,9,0
uniform,fixed1,3.500,15,0.7830888538380651,0.0666950385133873,78.30888538380651,6.66950385133873,0.7586251314405889,0.024463722397476347,2.446372239747635,0.528564453125,9,6,0
public_random,natural,3.500,15,0.36893678631918264,0.06688274411907193,36.89367863191826,6.688274411907193,0.36893678631918264,-0.0,-0.0,1.0,0,0,15
public_random,zeros,3.500,15,0.3229771075779927,0.04719177460802006,32.29771075779927,4.719177460802006,0.36893678631918264,-0.045959678741189974,-4.5959678741189975,0.36090087890625,8,7,0
public_random,indep_random,3.500,15,0.32594549198092765,0.05412383873111568,32.594549198092764,5.412383873111568,0.36893678631918264,-0.042991294338255034,-4.299129433825503,0.0340576171875,4,11,0
