reference_condition,reference_ablation,condition,ablation,checkpoint_episode,f_value,n_pairs,natural_mean_coop_rate,intervention_mean_coop_rate,mean_delta_natural_minus_intervention,median_delta_natural_minus_intervention,sem_delta_natural_minus_intervention,bootstrap_ci_low,bootstrap_ci_high,n_positive,n_negative,n_zero,sign_flip_p_value
cond1,none,cond1,fixed0,150000,3.500,15,0.776747090264249,0.6939507467905489,0.08279634347369999,0.05110145361906193,0.04722449246154955,-0.001685898396523285,0.17550826714621107,9,6,0,0.10357666015625
cond1,none,cond1,fixed0,150000,5.000,15,0.901771731170075,0.8517942651118247,0.049977466058250236,0.03020956565827282,0.02392277062036942,0.005391245563630228,0.09606219367922933,12,3,0,0.0548095703125
cond1,none,cond1,fixed1,150000,3.500,15,0.776747090264249,0.7350616913931763,0.041685398871072483,-0.014723512662970228,0.0501967403818028,-0.03890553973724962,0.14733503171986612,7,8,0,0.50494384765625
cond1,none,cond1,fixed1,150000,5.000,15,0.901771731170075,0.9044532702382966,-0.0026815390682215132,-0.008365725874598606,0.02128653792242898,-0.04318348262069742,0.03710776857641821,6,9,0,0.9052734375
cond1,none,cond1,indep_random,150000,3.500,15,0.776747090264249,0.7243165089379601,0.05243058132628892,0.058537654212725054,0.01951788939351695,0.01499659786924818,0.08889996341015467,11,4,0,0.0205078125
cond1,none,cond1,indep_random,150000,5.000,15,0.901771731170075,0.8862698004231716,0.01550193074690341,0.01163026979872217,0.01603985053899354,-0.01513247596691228,0.04580330607795283,10,5,0,0.3460693359375
cond1,none,cond1,marginal,150000,3.500,15,0.776747090264249,0.7233218946602196,0.05342519560402956,0.0481951773798045,0.018757189433330008,0.017490886777199774,0.08850606001665445,11,4,0,0.0145263671875
cond1,none,cond1,marginal,150000,5.000,15,0.901771731170075,0.8836908179924562,0.01808091317761869,0.010720372459683158,0.015355047575037277,-0.011914052459690024,0.04641379700239015,10,5,0,0.25408935546875
cond1,none,cond1,permute_slots,150000,3.500,15,0.776747090264249,0.7327776916317775,0.04396939863247143,0.04625403897000291,0.018994987237023798,0.007938713455586706,0.08058281948012312,11,4,0,0.03662109375
cond1,none,cond1,permute_slots,150000,5.000,15,0.901771731170075,0.8763458580531751,0.025425873116899804,0.01664055052261626,0.011041957725195754,0.004777674237261557,0.04656189627798922,11,4,0,0.03790283203125
cond1,none,cond1,public_marginal,150000,3.500,15,0.776747090264249,0.7095148616330714,0.06723222863117756,0.08484463034800915,0.03389390929648763,0.003383522073572309,0.13150428002178247,11,4,0,0.067626953125
cond1,none,cond1,public_marginal,150000,5.000,15,0.901771731170075,0.8668283137655267,0.034943417404548295,0.0015584107175521389,0.021439914830290004,-0.006024820962378567,0.0746283646595671,9,6,0,0.12274169921875
cond1,none,cond1,public_random,150000,3.500,15,0.776747090264249,0.7106539911489921,0.066093099115257,0.0848306037636643,0.03400499615750381,0.0015354901452045767,0.13001843421671883,11,4,0,0.0732421875
cond1,none,cond1,public_random,150000,5.000,15,0.901771731170075,0.8677176148046605,0.034054116365414173,0.0019674508679177194,0.0219470866357764,-0.007977724391590345,0.07501671801478595,8,7,0,0.14349365234375
cond1,none,cond1,sender_shuffle,150000,3.500,15,0.776747090264249,0.7059418552375243,0.0708052350267246,0.07350517008841606,0.024376536503130746,0.02647984414805936,0.11729357110744797,11,4,0,0.01190185546875
cond1,none,cond1,sender_shuffle,150000,5.000,15,0.901771731170075,0.8745169286237395,0.02725480254633541,0.014111881020787531,0.020193581320831856,-0.011895104501154866,0.06390907554503969,11,4,0,0.19659423828125
cond1,none,cond1,zeros,150000,3.500,15,0.776747090264249,0.8011189370098407,-0.024371846745591678,-0.0357785104151056,0.03718208633472516,-0.09734002697437433,0.04454518207702683,7,8,0,0.5399169921875
cond1,none,cond1,zeros,150000,5.000,15,0.901771731170075,0.8348318404596925,0.0669398907103825,0.007689707622105746,0.028025938532920996,0.01490056898202919,0.1215001971719903,8,7,0,0.03204345703125
