checkpoint,condition,train_seed,comm_enabled,eval_seed,eval_policy,ablation,history_intervention,sender_remap,cross_play,scope,key,n_rounds,coop_rate,avg_reward,p_all_cooperate,avg_welfare,p_coop_given_m0,p_coop_given_m1,checkpoint_episode,suite_kind,observability_mode,public_signal_sigma
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,regime,competitive,5288,0.0,4.0,0.0,16.0,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,regime,cooperative,5917,0.6168666553996958,13.869866486395132,0.17407470001690045,55.47946594558053,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,regime,mixed,18795,0.003232242617717478,4.032322426177175,0.0,16.1292897047087,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,f_value,0.500,5288,0.0,4.0,0.0,16.0,0.0,0.0,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,f_value,1.500,5824,0.0,4.0,0.0,16.0,0.0,0.0,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,f_value,2.500,6298,0.0,4.0,0.0,16.0,0.0,0.0,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,f_value,3.500,6673,0.009103851341225835,4.091038513412259,0.0,16.364154053649035,0.009003065699095814,0.011332254071040854,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed101.pt,cond1,101,1,9001,greedy,none,none,none,none,f_value,5.000,5917,0.6168666553996958,13.869866486395132,0.17407470001690045,55.47946594558053,0.6118551801607189,0.7096857157553623,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed1111.pt,cond1,1111,1,9001,greedy,none,none,none,none,regime,competitive,5288,0.0,4.0,0.0,16.0,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed1111.pt,cond1,1111,1,9001,greedy,none,none,none,none,regime,cooperative,5917,0.8407977015379415,17.452763224607065,0.5497718438397837,69.81105289842826,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed1111.pt,cond1,1111,1,9001,greedy,none,none,none,none,regime,mixed,18795,0.03652567172120245,4.362596435222134,0.0,17.450385740888535,,,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed1111.pt,cond1,1111,1,9001,greedy,none,none,none,none,f_value,0.500,5288,0.0,4.0,0.0,16.0,0.0,0.0,150000,comm,private,
<SOURCE_ZEROAUX_REPO>/iwr-results/dsc-epgg-vectorized-zeroaux-plan/phase3-vecstraight-zeroaux-comm-reduced-20260415/phase3-vecstraight-zeroaux-comm-reduced-20260415/outputs/train/phase3_vecstraight_comm_history_factorial_with_comm_reduced_history_zeroaux_15seeds_iwr_20260415/train/cond1_seed1111.pt,cond1,1111,1,9001,greedy,none,none,none,none,f_value,1.500,5824,0.0,4.0,0.0,16.0,0.0,0.0,150000,comm,private,
