mode,condition,condition_alias,condition_display,train_seed,checkpoint_episode,f_value,coop_rate,avg_welfare
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,3.500,0.8640041960137869,50.56016784055148
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,5.000,0.993831333446003,79.60520534054419
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,3.500,0.35853439232728906,30.341375693091564
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,5.000,0.6270491803278688,56.131147540983605
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,3.500,0.5863929267196164,39.45571706878466
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,5.000,0.7139175257731959,61.69072164948454
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,3.500,0.6154278435486288,40.617113741945154
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,5.000,0.6892006084164273,60.108838938651346
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,3.500,0.7794470253259403,47.17788101303761
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,5.000,0.8335305053236437,69.3459523407132
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,3.500,0.42874269444028174,33.14970777761127
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,5.000,0.599839445665033,54.38972452256211
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,3.500,0.7564064139067885,46.256256556271545
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,5.000,0.9349754943383471,75.83843163765421
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,3.500,0.0712947699685299,18.851790798741195
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,5.000,0.7186074023998648,61.990873753591345
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,3.500,0.9097482391727858,52.389929566911434
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,5.000,0.9959861416258239,79.74311306405274
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,3.500,0.505956841001049,36.23827364004196
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,5.000,0.6612726043603178,58.32144667906034
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,3.500,0.790986063239922,47.639442529596884
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,5.000,0.8536842994760858,70.63579516646949
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,3.500,0.38303611569009444,31.321444627603775
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,5.000,0.632119317221565,56.45563630218016
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,3.500,0.44702532594035665,33.88101303761427
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,5.000,0.8475156329220889,70.2410005070137
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,3.500,0.45863929267196163,34.34557170687847
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,5.000,0.6802856177116782,59.5382795335474
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,3.500,0.9404690543983216,53.618762175932865
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,5.000,0.8612050025350685,71.11712016224438
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,3.500,0.39292671961636444,31.71706878465458
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,5.000,0.6284857191144161,56.22308602332263
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,3.500,0.9106099205754533,52.424396823018135
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,5.000,0.9730015210410681,78.27209734662836
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,3.500,0.6065487786602728,40.26195114641091
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,5.000,0.6963410512083826,60.56582727733649
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,3.500,0.753334332384235,46.1333732953694
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,5.000,0.7871387527463242,66.37688017576474
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,3.500,0.4780083920275738,35.12033568110295
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,5.000,0.742352543518675,63.5105627851952
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,3.500,0.8941630451071482,51.76652180428593
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,5.000,0.984071319925638,78.98056447524083
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,3.500,0.557245616664169,38.28982466656676
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,5.000,0.7936454284265675,66.79330741930032
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,3.500,0.5634272441180879,38.53708976472351
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,5.000,0.9847895893189116,79.02653371641034
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,3.500,0.43293870822718417,33.317548329087366
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,5.000,0.8717677877302688,71.7931384147372
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,3.500,0.8802637494380339,51.21054997752135
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,5.000,0.9295673483184046,75.4923102923779
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,3.500,0.5407987411958639,37.63194964783456
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,5.000,0.7142132837586614,61.70965016055433
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,150000,3.500,0.7361007043308857,45.444028173235424
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,150000,5.000,0.8688524590163934,71.60655737704919
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,50000,3.500,0.6228083320845197,40.91233328338079
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,50000,5.000,0.8384316376542167,69.65962480986987
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,150000,3.500,0.8388281132923723,49.55312453169489
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,150000,5.000,0.9645090417441271,77.72857867162413
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,50000,3.500,0.5076427393975723,36.305709575902895
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,50000,5.000,0.7322122697312827,62.861585262802095
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),101,150000,3.500,0.7495335820895522,45.98134328358209
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),101,150000,5.000,0.9389046047461889,76.08989470375609
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),101,50000,3.500,0.6346004353233831,41.38401741293532
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),101,50000,5.000,0.44035832154644033,44.182932578972185
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,150000,3.500,0.6572994402985075,42.2919776119403
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,150000,5.000,0.4983105453402483,47.89187490177589
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,50000,3.500,0.873095460199005,50.9238184079602
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,50000,5.000,0.9066478076379066,74.02545968882603
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,150000,3.500,0.34157338308457713,29.662935323383085
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,150000,5.000,0.5135942165645135,48.87002986012887
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,50000,3.500,0.7150575248756219,44.602300995024876
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,50000,5.000,0.5805830583058306,53.157315731573156
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,150000,3.500,0.02028917910447761,16.811567164179106
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,150000,5.000,0.26575514694326574,33.00832940436901
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,50000,3.500,0.45020988805970147,34.00839552238806
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,50000,5.000,0.5147336162187648,48.94295143800095
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,150000,3.500,0.039606654228855724,17.58426616915423
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,150000,5.000,0.4223243752946723,43.02876001885903
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,50000,3.500,0.13992537313432835,21.597014925373134
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,50000,5.000,0.2733773377337734,33.496149614961496
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,150000,3.500,0.6137282338308457,40.54912935323383
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,150000,5.000,0.47512965582272515,46.40829797265441
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,50000,3.500,0.41363495024875624,32.54539800995025
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,50000,5.000,0.5562234794908062,51.598302687411596
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,150000,3.500,0.845693407960199,49.82773631840796
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,150000,5.000,0.9704934779192205,78.11158258683011
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,50000,3.500,0.2111318407960199,24.445273631840795
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,50000,5.000,0.598066949552098,54.276284771334275
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),202,150000,3.500,0.48935012437810943,35.57400497512438
