mode,condition,condition_alias,condition_display,checkpoint_episode,f_value,n_seeds,mean_coop_rate,std_coop_rate,sem_coop_rate,mean_avg_welfare,std_avg_welfare,sem_avg_welfare
fixed0,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,3.500,15,0.2970602927219142,0.16408139521632864,0.042365634073021206,27.882411708876568,6.563255808653146,1.6946253629208485
fixed0,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,5.000,15,0.5775928116725819,0.13935051295427162,0.035980147730490325,52.965939947045236,8.918432829073382,2.3027294547513804
fixed0,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,3.500,15,0.26448623807382987,0.2841015026862278,0.07335469256908413,26.579449522953194,11.364060107449111,2.934187702763365
fixed0,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,5.000,15,0.4668384879725087,0.14509265659266782,0.03746276284269295,45.87766323024054,9.28593002193074,2.3976168219323486
fixed1,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,3.500,15,0.3288475947849543,0.16835379539823797,0.04346876305654577,29.153903791398175,6.734151815929519,1.7387505222618307
fixed1,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,5.000,15,0.5511942989127374,0.11625482871174415,0.030016867701118728,51.27643513041518,7.440309037551627,1.9210795328715988
fixed1,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,3.500,15,0.14165292971676907,0.1837799473609131,0.047451778366379475,21.66611718867076,7.351197894436525,1.8980711346551793
fixed1,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,5.000,15,0.4651906934820574,0.14679644829999677,0.0379026799698857,45.772204382851676,9.394972691199794,2.425771518072685
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,3.500,15,0.46403666516809033,0.13786853900781704,0.03559750370288153,34.56146660672361,5.5147415603126815,1.4239001481152613
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,5.000,15,0.7083882598163485,0.07876531871862077,0.02033711784372917,61.3368486282463,5.04098039799173,1.301575541998667
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,3.500,15,0.776747090264249,0.14433692697392858,0.037267634294185434,47.06988361056997,5.773477078957144,1.4907053717674175
learned,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,5.000,15,0.9017717311700749,0.08576275510379694,0.022143848149458044,73.7133907948848,5.488816326643004,1.4172062815653148
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),50000,3.500,15,0.46528036898839137,0.2405483135772912,0.06210930749620855,34.61121475953565,9.621932543091647,2.4843722998483417
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),50000,5.000,15,0.5832940436900832,0.16343283849603557,0.042198177447903475,53.33081879616534,10.459701663746278,2.700683356665823
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),150000,3.500,15,0.42290111940298497,0.279077736500988,0.07205756171770589,32.91604477611939,11.16310946003952,2.882302468708235
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),150000,5.000,15,0.5623107548850123,0.19672573652409006,0.050794366755212594,51.9878883126408,12.590447137541764,3.250839472333606
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,3.500,15,0.3896383106594547,0.15050499399926284,0.038860222352012815,31.58553242637819,6.020199759970514,1.5544088940805125
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,5.000,15,0.5728752570253598,0.12020036260790201,0.03103560017256648,52.66401644962302,7.692823206905729,1.9862784110442546
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,3.500,15,0.3689367863191827,0.2590357541218176,0.06688274411907193,30.7574714527673,10.361430164872704,2.675309764762877
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,5.000,15,0.5762737034498515,0.20326103832158027,0.05248177442348719,52.881517020790504,13.008706452581137,3.3588335631031803
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,3.500,15,0.45585962145110415,0.08420761906864632,0.021742313751776352,34.23438485804417,3.368304762745853,0.8696925500710542
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),50000,5.000,15,0.6752187339166239,0.08489745107194654,0.021920427609140532,59.21399897066393,5.433436868604579,1.402907366984994
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,3.500,15,0.7586251314405889,0.21095217020103157,0.05446761613566052,46.345005257623555,8.438086808041263,2.1787046454264205
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),150000,5.000,15,0.9156373305884371,0.09652604175346323,0.024922916812432323,74.60078915765997,6.177666672221646,1.5950666759956684
