summary,true_f,n_rows,n_seeds,mean_delta_p_cooperate,std_delta_p_cooperate,sem_delta_p_cooperate,mean_abs_delta_p_cooperate,std_abs_delta_p_cooperate,sem_abs_delta_p_cooperate,mean_flip_rate_force0,std_flip_rate_force0,sem_flip_rate_force0,mean_flip_rate_force1,std_flip_rate_force1,sem_flip_rate_force1
overall_all,0.5,240,15,-0.00037299433430488377,0.001468109513682668,0.0003790642464601095,0.001984313669296647,0.0024522094143588614,0.0006331577482149942,0.0011582829046898639,0.001720369918113491,0.00044419760281131786,0.0008895927887039838,0.0010107966335055525,0.0002609865685313018
overall_all,1.5,240,15,0.0002019413732314222,0.01321859894108043,0.003413027570599967,0.017367992892032315,0.015812873120659657,0.00408286628346705,0.009674049908424909,0.011368604505138817,0.002935361061201417,0.008796932234432234,0.009730973924391872,0.0025125266634365567
overall_all,2.5,240,15,-0.008501457236147935,0.042635507324216636,0.011008440654919691,0.11659614376657451,0.0643629993861459,0.016618454982300083,0.07107481210966445,0.039375263422829404,0.010166649299276555,0.06603220599132,0.041661555672786156,0.010756967419852928
overall_all,3.5,240,15,0.004403059670556997,0.0358616512961429,0.009259438549163938,0.12051554577630066,0.03301224927672096,0.008523726111305875,0.08593898296618213,0.046568094362898604,0.012023830262141452,0.07435873420250763,0.025616807814870097,0.006614231336665859
overall_all,5.0,240,15,0.03168103321149906,0.051005568203499205,0.013169581081066598,0.09983549006738178,0.06638451298492139,0.017140407549112703,0.055341952566052614,0.06444472304392296,0.016639555940004196,0.0711692299025407,0.05122686548252573,0.013226719792815315
overall_self,0.5,60,15,-6.926983197741797e-06,0.0011761093035974445,0.000303670116410167,0.0016550237333157213,0.0023551367471129304,0.0006080936933072991,0.0005799293998991427,0.000715532740109589,0.00018474975907403987,0.0011346444780635401,0.001976602208809273,0.0005103564957863406
overall_self,1.5,60,15,-0.003018833880880907,0.016720805654388448,0.004317293455641151,0.0161197872374,0.01790071173973632,0.004621943896883891,0.00796989468864469,0.00778576319181755,0.0020102754119616048,0.00937213827838828,0.013670237546647394,0.003529640157124313
overall_self,2.5,60,15,-0.036747204612414194,0.08221754490571287,0.021228478812392426,0.1215530614809673,0.08179165702837453,0.02111851503530689,0.07187996189266435,0.048709178506997505,0.012576655811003038,0.06840266751349633,0.05097927509536003,0.01316279222973706
overall_self,3.5,60,15,-0.01030713910096539,0.07493782455364853,0.0193488630998196,0.11894793124628983,0.06712290728868901,0.017331060138541132,0.07024077126729607,0.04623409441403017,0.011937591846168013,0.08280383635546233,0.05641606015302034,0.01456656409541891
overall_self,5.0,60,15,0.062236755248717864,0.10088158521657564,0.026047513298853454,0.09683699244339887,0.08668447759540701,0.02238183587344675,0.04477775899949299,0.07031385109338537,0.018154958286159314,0.07728860345896008,0.06563064615509746,0.016945759970634952
overall_nonself,0.5,180,15,-0.000495016784673931,0.0021337431524262166,0.0005509301129620567,0.0020940769812902884,0.0026982254793717244,0.0006966788230612809,0.0013510674062867712,0.0021700274829263445,0.0005602986868124088,0.0008079088922507985,0.0008006873581770935,0.00020673658691591307
overall_nonself,1.5,180,15,0.001275533124602197,0.018356953749615112,0.004739745077290608,0.01778406144357642,0.01757815843635418,0.004538660992066342,0.010242101648351647,0.014229248297565887,0.0036739761123681944,0.008605196886446887,0.009210617673363723,0.0023781712571480937
overall_nonself,2.5,180,15,0.0009137918892741517,0.05941936853123884,0.015342014984243271,0.1149438378617769,0.06241010247889162,0.016114219169056365,0.07080642884866449,0.03945932542691348,0.010188354015400984,0.06524205215059455,0.040471307000284694,0.010449646534090017
overall_nonself,3.5,180,15,0.009306459261064454,0.04832917882953845,0.012478540316178831,0.12103808395297096,0.03217631033129987,0.008307887603701736,0.09117172019914414,0.04936457722041909,0.01274587903115021,0.0715437001515227,0.018678087969103176,0.004822661576222248
overall_nonself,5.0,180,15,0.021495792532426124,0.04920209659169458,0.012703926713208122,0.10083498927537608,0.06244110615256786,0.016122224283177652,0.058863350421572494,0.06370487629549101,0.01644852833097602,0.06912943871706759,0.05250300997982244,0.013556218885174274
