summary,true_f,sender_id,receiver_id,n_rows,n_seeds,mean_delta_p_cooperate,sem_delta_p_cooperate,mean_abs_delta_p_cooperate,sem_abs_delta_p_cooperate
pair,0.5,agent_2,agent_0,15,15,-0.004607332356565157,0.005719609314493274,0.0070290070104306575,0.005540858635351589
pair,0.5,agent_1,agent_0,15,15,-0.0030447129616201487,0.002709926697415588,0.005032806288748291,0.0024893053499450975
pair,0.5,agent_1,agent_2,15,15,0.0007054894039895956,0.0015868779339681068,0.0032394616408463798,0.0013431877237972494
pair,0.5,agent_0,agent_0,15,15,-0.0018188473540978161,0.001251141374475616,0.002588099950107796,0.0011503077442489317
pair,0.5,agent_0,agent_2,15,15,-0.0018542811164406333,0.0010743353764060743,0.0020155053914582602,0.0010533906984372334
pair,0.5,agent_2,agent_2,15,15,0.001442318057328491,0.0009481033827006194,0.0019413366020720366,0.0008822088316099471
pair,0.5,agent_3,agent_3,15,15,0.0005751859180108852,0.0012669441822600318,0.0018033917606112356,0.001181726426266524
pair,0.5,agent_3,agent_2,15,15,0.001138109302571142,0.0012012496537266379,0.0015774194794292461,0.0011652421820197256
pair,1.5,agent_2,agent_0,15,15,-0.03658330584451687,0.04260154311456628,0.05507520687837896,0.0411560970263639
pair,1.5,agent_2,agent_2,15,15,0.00500327701349337,0.013437141077228786,0.02498578667729401,0.011736809890259782
pair,1.5,agent_3,agent_1,15,15,0.021744040607051943,0.01555889207708656,0.02333289799588795,0.015393613913300424
pair,1.5,agent_3,agent_3,15,15,-0.0008315453717603338,0.01138883729921917,0.020469782264885997,0.009991275094253326
pair,1.5,agent_3,agent_0,15,15,0.01479980201165424,0.011213532902212707,0.01965351907978561,0.010667640686576944
pair,1.5,agent_2,agent_3,15,15,0.011534979177911383,0.010534717536800136,0.019053693122614755,0.009723815951225751
pair,1.5,agent_1,agent_0,15,15,-0.0008039512415745021,0.009179104838111395,0.01867180527877836,0.00770710963070914
pair,1.5,agent_0,agent_3,15,15,0.01173014359370783,0.011190109547665975,0.01831213592600929,0.010540133064350745
pair,2.5,agent_2,agent_2,15,15,0.007202189372350645,0.06626700766488763,0.16319505793037184,0.049926855689722764
pair,2.5,agent_2,agent_3,15,15,0.012012747708812855,0.05908833823877722,0.15017710101925044,0.04348332065980786
pair,2.5,agent_0,agent_3,15,15,0.02831626328161094,0.052887176343604646,0.14512314336184715,0.03674218277344735
pair,2.5,agent_1,agent_0,15,15,0.03694729252268648,0.062206205426426305,0.1447993843036823,0.04969392650429367
pair,2.5,agent_3,agent_3,15,15,-0.04420463998627509,0.05145681902814541,0.14357198451739692,0.03626331735769321
pair,2.5,agent_2,agent_0,15,15,-0.11143909898374459,0.06474064510291377,0.1248563315467602,0.06296738671258682
pair,2.5,agent_1,agent_2,15,15,0.009651039414782228,0.04372623850039686,0.119647040581993,0.029935052684659604
pair,2.5,agent_3,agent_1,15,15,0.09487943165671826,0.03725041004533801,0.11689844313895319,0.0324732452762845
pair,3.5,agent_3,agent_3,15,15,-0.044985339672461766,0.07783345261001198,0.22350375654499768,0.051326963415545844
pair,3.5,agent_0,agent_3,15,15,0.01672185138553398,0.06902157729050672,0.18995648905943482,0.04697404026339913
pair,3.5,agent_2,agent_1,15,15,-0.006504662286005136,0.05531749664284774,0.16314751377677783,0.03408555985368883
pair,3.5,agent_0,agent_1,15,15,0.016033862186905595,0.056151698492319824,0.15155101859118314,0.039125766912261876
pair,3.5,agent_1,agent_0,15,15,0.07817501591436472,0.05114135556696446,0.14643647188985792,0.038990684146377144
pair,3.5,agent_1,agent_3,15,15,-0.05832441730357992,0.04676059673460112,0.13049663401269854,0.03483031711313515
pair,3.5,agent_3,agent_0,15,15,-0.03756268690539648,0.04865694277778329,0.12282067616578084,0.03729324917888713
pair,3.5,agent_2,agent_3,15,15,-0.013443975257901149,0.04231848887086359,0.10870386858713353,0.030979454515756944
pair,5.0,agent_0,agent_1,15,15,0.1146883294488308,0.06765341237158208,0.16825290646303834,0.05911378329469746
pair,5.0,agent_2,agent_1,15,15,0.07308384861651643,0.04992242309375112,0.1302228822025536,0.04077352648225024
pair,5.0,agent_1,agent_1,15,15,0.054396336402384726,0.045180489930822416,0.12459673571059644,0.03381936073750954
pair,5.0,agent_3,agent_2,15,15,0.017069581637803418,0.0683458409736924,0.12137563495881715,0.060329737723643806
pair,5.0,agent_1,agent_0,15,15,0.10745047247610733,0.052683411968864065,0.12088720301417345,0.050560765941505194
pair,5.0,agent_3,agent_3,15,15,0.07173311841429071,0.0427201665466406,0.1205328914363931,0.03398280991518178
pair,5.0,agent_1,agent_3,15,15,-0.060600463054009505,0.05084989449181754,0.11948119905324095,0.04275897898417347
pair,5.0,agent_0,agent_3,15,15,0.02359706875823825,0.036974977643265114,0.09897319273163699,0.026593788719718844
