f_value,metric,value,n,sample_unit
3.500,natural_mean,0.7767470902642489,210,ordered_pairs
3.500,sender_shuffle_mean,0.7059418552375238,210,ordered_pairs
3.500,public_random_mean,0.7106539911489921,210,ordered_pairs
3.500,indep_random_mean,0.7243165089379603,210,ordered_pairs
3.500,foreign_identity_mean,0.7129741504160473,210,ordered_pairs
3.500,foreign_flipall_mean,0.7277871928429434,210,ordered_pairs
3.500,foreign_best_aligned_mean,0.7781484761384998,210,ordered_pairs
3.500,foreign_best_minus_natural_mean,0.0014013858742511387,210,ordered_pairs
3.500,foreign_best_minus_public_random_mean,0.06749448498950815,210,ordered_pairs
3.500,foreign_best_minus_sender_shuffle_mean,0.07220662090097575,210,ordered_pairs
3.500,receiver_natural_mean,0.7767470902642489,15,receivers
3.500,receiver_foreign_identity_mean,0.7129741504160478,15,receivers
3.500,receiver_foreign_best_aligned_mean,0.7781484761385001,15,receivers
3.500,receiver_best_minus_natural_mean,0.0014013858742511383,15,receivers
3.500,receiver_best_minus_public_random_mean,0.06749448498950815,15,receivers
3.500,receiver_best_minus_sender_shuffle_mean,0.07220662090097577,15,receivers
3.500,receiver_positive_best_minus_natural_count,7.0,15,receivers
3.500,receiver_positive_best_minus_public_random_count,12.0,15,receivers
3.500,receiver_positive_best_minus_sender_shuffle_count,13.0,15,receivers
5.000,natural_mean,0.9017717311700734,210,ordered_pairs
5.000,sender_shuffle_mean,0.8745169286237385,210,ordered_pairs
5.000,public_random_mean,0.8677176148046601,210,ordered_pairs
5.000,indep_random_mean,0.8862698004231743,210,ordered_pairs
5.000,foreign_identity_mean,0.883434749575643,210,ordered_pairs
5.000,foreign_flipall_mean,0.8938327252927883,210,ordered_pairs
5.000,foreign_best_aligned_mean,0.9264931314854182,210,ordered_pairs
5.000,foreign_best_minus_natural_mean,0.02472140031534339,210,ordered_pairs
5.000,foreign_best_minus_public_random_mean,0.05877551668075755,210,ordered_pairs
5.000,foreign_best_minus_sender_shuffle_mean,0.05197620286167882,210,ordered_pairs
5.000,receiver_natural_mean,0.9017717311700751,15,receivers
5.000,receiver_foreign_identity_mean,0.8834347495756433,15,receivers
5.000,receiver_foreign_best_aligned_mean,0.9264931314854183,15,receivers
5.000,receiver_best_minus_natural_mean,0.024721400315343384,15,receivers
5.000,receiver_best_minus_public_random_mean,0.058775516680757554,15,receivers
5.000,receiver_best_minus_sender_shuffle_mean,0.0519762028616788,15,receivers
5.000,receiver_positive_best_minus_natural_count,10.0,15,receivers
5.000,receiver_positive_best_minus_public_random_count,12.0,15,receivers
5.000,receiver_positive_best_minus_sender_shuffle_count,15.0,15,receivers
